Time (sec),Voltage (V),AccX (m/s^2),AccY (m/s^2),Gyro (deg/sec),Gyro45(deg/sec),Theta (deg)
2.47,-0,-1.01499,9.90554,22.5586,22.4701,-1.03999
2.48,-0,-1.11163,9.90554,20.9473,21.0535,-1.29968
2.49,-0,-1.01499,9.90554,19.3359,19.9911,-1.55937
2.5,-0,-1.01499,9.90554,19.3359,19.2828,-1.81906
2.51,0,-0.918343,9.90554,17.7246,18.2204,-2.07875
2.52,0,-0.725052,9.90554,17.7246,17.8663,-2.33842
2.53,0,-0.628407,9.90554,17.7246,17.5121,-2.59811
2.54,0,-0.628407,9.90554,17.7246,17.5121,-2.8578
2.55,0,-0.725052,9.90554,17.7246,17.5121,-3.11749
2.56,0,-0.725052,9.81029,17.7246,17.5121,-3.11749
2.57,0,-0.821697,9.81029,16.1133,17.158,-3.37718
2.58,0,-1.01499,9.90554,16.1133,16.4497,-3.63687
2.59,0,-1.11163,9.90554,16.1133,16.0956,-3.89656
2.6,0,-1.11163,9.90554,16.1133,15.3873,-4.15625
2.61,0,-1.11163,9.90554,14.502,15.0332,-4.67561
2.62,0,-1.11163,9.90554,14.502,14.3249,-4.67561
2.63,0,-1.11163,9.90554,14.502,14.3249,-4.9353
2.64,0,-0.918343,9.81029,14.502,14.3249,-5.19499
2.65,0,-0.725052,9.81029,14.502,14.679,-5.71437
2.66,0,-0.725052,9.81029,14.502,15.0332,-5.97406
2.67,0,-0.628407,9.81029,16.1133,15.7414,-6.23374
2.68,0,-0.628407,9.81029,16.1133,16.4497,-6.49343
2.69,0,-0.628407,9.81029,16.1133,17.158,-6.75312
2.7,0,-0.628407,9.71505,17.7246,18.2204,-7.01281
2.71,0,-0.821697,9.71505,17.7246,18.5745,-7.27249
2.72,0,-0.918343,9.81029,19.3359,19.2828,-7.53218
2.73,0,-1.01499,9.71505,19.3359,19.9911,-7.79187
2.74,0,-1.01499,9.71505,19.3359,20.3452,-8.05156
2.75,0,-1.11163,9.71505,20.9473,20.6994,-8.31124
2.76,-0,-1.20828,9.71505,20.9473,21.0535,-8.31124
2.77,-0,-1.11163,9.71505,20.9473,21.7618,-8.57093
2.78,-0,-1.11163,9.71505,22.5586,22.1159,-8.83062
2.79,-0,-1.11163,9.71505,22.5586,23.1783,-9.09031
2.8,-0,-1.20828,9.71505,24.1699,23.5325,-9.34999
2.81,-0,-1.20828,9.71505,24.1699,24.2407,-9.60968
2.82,-0,-1.30492,9.6198,24.1699,24.949,-9.60968
2.83,-0,-1.40157,9.6198,25.7812,25.6573,-9.86937
2.84,-0,-1.40157,9.6198,25.7812,26.0114,-9.86937
2.85,-0,-1.49821,9.6198,25.7812,26.3656,-10.1291
2.86,-0,-1.49821,9.71505,25.7812,26.7197,-10.3887
2.87,-0,-1.59486,9.6198,27.3926,27.0739,-10.6484
2.88,-0,-1.59486,9.6198,27.3926,27.428,-10.9081
2.89,-0,-1.59486,9.6198,27.3926,27.7821,-11.1678
2.9,-0,-1.49821,9.6198,27.3926,28.1363,-11.1678
2.91,-0,-1.49821,9.6198,29.0039,28.8445,-11.4275
2.92,-0,-1.59486,9.6198,29.0039,29.5528,-11.4275
2.93,-0,-1.59486,9.6198,29.0039,29.907,-11.4275
2.94,-0,-1.6915,9.6198,30.6152,30.2611,-11.6872
2.95,-0,-1.6915,9.6198,30.6152,30.6152,-11.9469
2.96,-0,-1.78815,9.6198,30.6152,31.3235,-11.9469
2.97,-0,-1.88479,9.6198,30.6152,31.6776,-11.9469
2.98,-0,-1.88479,9.6198,30.6152,31.6776,-12.2066
2.99,-0,-1.98144,9.6198,32.2266,32.0318,-12.2066
3,-0,-1.98144,9.52456,32.2266,31.6776,-12.4662
3.01,0,-1.98144,9.6198,32.2266,32.3859,-12.7259
3.02,0,-1.98144,9.6198,32.2266,32.7401,-12.7259
